Country,IncludingNMSCNumberMortality,IncludingNMSCRateMortality,NumericCode,Latitude,Longitude,PrevalenceCases,IncludingNMSCNumberIncidence,IncludingNMSCRateIncidence,Continent
Morocco,"36,947",85.9,504,28.3347722,-10.3713379,95.68,"63,609",149.8,Africa
Mozambique,"19,020",96.3,508,-19.302233,34.9144977,60.05,"26,578",128.8,Africa
Myanmar,"54,841",97.1,104,17.1750495,95.9999652,75.07,"77,603",135.5,Asia
Namibia,"1,940",113.0,516,-23.2335499,17.3231107,120.77,"3,453",193.5,Africa
Netherlands,"49,790",103.2,528,52.2434979,5.6343227,298.41,"132,319",341.4,Europe
New Caledonia,467,113.2,540,-20.6378428,161.2117626,234.32,"1,149",287.6,Oceania
New Zealand,"11,301",100.2,554,-41.5000831,172.8344077,332.17,"38,157",427.3,Oceania
Nicaragua,"4,822",76.8,558,12.3506436,-85.7841006,81.24,"8,409",133.5,North America
Niger,"8,806",66.1,562,17.7356214,9.3238432,34.44,"11,593",83.7,Africa
Nigeria,"79,542",74.6,566,9.6000359,7.9999721,58.68,"127,763",113.6,Africa
North Korea,"42,789",113.9,408,40.3736611,127.0870417,93.37,"61,533",166.1,Asia
North Macedonia,"4,364",112.5,807,41.6171214,21.7168387,146.01,"7,563",206.9,Europe
Norway,"13,393",91.8,578,61.1529386,8.7876653,321.11,"40,305",357.9,Europe
Oman,"2,261",66.3,512,21.0000287,57.0036901,78.35,"4,045",105.3,Asia
Pakistan,"118,631",69.8,586,30.3308401,71.247499,56.63,"185,748",105.6,Asia
Panama,"3,770",65.7,591,8.559559,-81.1308434,116.84,"8,353",154.9,North America
Papua New Guinea,"7,200",119.8,598,-5.6816069,144.2489081,101.72,"12,190",188.7,Oceania
Paraguay,"6,581",89.9,600,-23.3165935,-58.1693445,129.73,"13,783",192.2,South America
Peru,"35,934",82.4,604,-6.8699697,-75.0458515,120.81,"72,827",173.8,South America
Philippines,"113,369",112.9,608,12.7503486,122.7312101,119.99,"188,976",185.4,Asia
Poland,"119,992",133.1,616,52.215933,19.134422,208.85,"208,900",262.8,Europe
Portugal,"33,762",109.0,620,39.6621648,-8.1353519,235.01,"69,567",294.6,Europe
Puerto Rico,"5,796",75.0,630,18.2247706,-66.4858295,187.73,"13,778",226.6,North America
Qatar,782,46.2,634,25.3336984,51.2295295,65.72,"1,733",82.4,Asia
Romania,"56,216",132.5,642,45.9852129,24.6859225,209.96,"104,661",276.5,Europe
Russian Federation,"311,729",110.5,643,64.6863136,97.7453061,188.08,"635,560",248.1,Europe
Rwanda,"4,887",59.4,646,-1.9646631,30.0644358,44.63,"7,122",83.2,Africa
Saint Lucia,223,76.1,662,13.8250489,-60.975036,124.8,448,166.8,North America
Samoa,208,126.3,882,-13.7693895,-172.12005,174.99,400,240.0,Oceania
