Country,IncludingNMSCNumberMortality,IncludingNMSCRateMortality,NumericCode,Latitude,Longitude,PrevalenceCases,IncludingNMSCNumberIncidence, IncludingNMSCRateIncidence
Bulgaria,"18,794",114.2,100,42.6073975,25.4856617,165.17,"32,812",222.0
Burkina Faso,"10,998",98.5,854,12.0753083,-1.6880314,59.96,"14,538",125.2
Burundi,"5,760",98.7,108,-3.426449,29.9324519,56.28,"7,997",128.2
C̫te d'Ivoire,"14,143",93.6,384,7.9897371,-5.5679458,70.53,"21,352",137.0
Cambodia,"13,799",99.3,116,12.5433216,104.8144914,77.3,"19,795",138.3
Cameroon,"12,798",87.3,120,4.6125522,13.1535811,69.12,"19,564",126.0
Canada,"100,465",96.4,124,61.0666922,-107.991707,299.54,"292,098",345.9
Cabo Verde,285,58.3,132,16.0000552,-24.0083947,58.75,435,87.0
Central African Republic,"2,023",79.9,140,7.0323598,19.9981227,38.92,"2,690",101.8
Chad,"7,257",86.2,148,15.6134137,19.0156172,50.69,"10,185",118.1
Chile,"31,440",90.1,152,-31.7613365,-71.3187697,143.87,"59,876",188.7
China,"2,574,176",96.5,156,35.000074,104.999927,133.7,"4,824,703",201.6
Colombia,"56,719",81.4,170,4.099917,-72.9088133,124.02,"117,620",177.6
Comoros,418,75.3,174,-12.2045176,44.2832964,67.69,619,106.8
Costa Rica,"6,072",75.3,188,10.2735633,-84.0739102,133.45,"13,325",177.7
Croatia,"13,854",125.7,191,45.3658443,15.6575209,245.08,"28,809",313.4
Cuba,"27,724",110.2,192,23.0131338,-80.8328748,157.39,"49,688",220.8
Cyprus,"2,837",111.5,196,34.9174159,32.8899027,243.09,"6,198",292.3
Czech Republic,"28,071",103.8,203,49.7439047,15.3381061,233.76,"65,676",280.9
Denmark,"17,204",106.5,208,55.670249,10.3333283,326.06,"48,840",374.7
Djibouti,572,66.7,262,11.8145966,42.8453061,53.84,805,90.7
Dominican Republic,"11,744",92.0,214,19.0974031,-70.3028026,115.63,"20,171",167.0
Ecuador,"16,158",76.0,218,-1.3397668,-79.3666965,105.35,"30,888",152.7
Egypt,"95,275",107.7,818,26.2540493,29.2675469,106.39,"150,578",166.1
El Salvador,"5,292",64.7,222,13.8000382,-88.9140683,78.14,"9,799",127.1
Equatorial Guinea,589,72.1,226,1.613172,10.5170357,69.07,926,107.7
Eritrea,"1,724",72.5,232,15.9500319,37.9999668,42.5,"2,463",99.8
Estonia,"4,086",114.4,233,58.7523778,25.3319078,232.57,"8,050",282.5
Eswatini,697,88.8,748,-26.5624806,31.3991317,88.43,"1,108",135.3
Ethiopia,"54,698",74.5,231,10.2116702,38.6521203,51.15,"80,334",104.5
Fiji,865,98.5,242,-18.1239696,179.0122737,127.16,"1,601",174.8
Finland,"13,445",79.8,246,63.2467777,25.9209164,242.68,"37,660",276.9
French Guiana,233,82.6,254,4.0039882,-52.999998,170.96,589,204.3
French Polynesia,481,122.3,258,-17.0243749,-144.6434898,172.86,877,228.1
Gabon,"1,094",69.5,266,-0.8999695,11.6899699,77.89,"1,875",114.4
Gambia,899,62.7,270,13.470062,-15.4900464,40.24,"1,196",79.2
Georgia,"8,459",111.7,268,32.3293809,-83.1137366,145.38,"13,689",197.5
Germany,"253,170",99.7,276,51.1638175,10.4478313,235.16,"605,805",274.2
Ghana,"17,944",82.6,288,8.0300284,-1.0800271,70.44,"27,385",120.4
Greece,"32,385",100.6,300,38.9953683,21.9877132,208.19,"65,703",258.7
Guadeloupe,952,93.0,312,16.2528827,-61.5686855,183.81,"2,123",253.9
Guam,267,101.1,316,13.4499943,144.7651677,132.2,412,167.2
Guatemala,"10,369",71.1,320,15.5855545,-90.345759,73.62,"17,801",121.8
Guinea,"6,363",87.5,324,10.7226226,-10.7083587,56.05,"8,777",116.3
